city,Site,cy,plant_dens,dist,std_dist,pop,area,pop_dens,dwellings,dwell_dens
Georgetown,Gt 19,0.47826087,5.6,6.88,0.965189873,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 20,0.2,0,7.1,1,40150,23.12,1736,13805,597.1020761
Guelph,Ge2,0.208333333,0.2,0.29,0,141097,593.52,237.7,54868,92.44507346
Guelph,Ge1,0.260869565,8.2,0.3,0.001182033,141097,593.52,237.7,54868,92.44507346
Guelph,Ge3,0.15,17.2,0.67,0.044917258,141097,593.52,237.7,54868,92.44507346
Guelph,Ge4,0.136363636,19,1.01,0.085106383,141097,593.52,237.7,54868,92.44507346
Guelph,Ge5,0.444444444,5,1.48,0.140661939,141097,593.52,237.7,54868,92.44507346
Guelph,Ge6,0.095238095,0,1.81,0.179669031,141097,593.52,237.7,54868,92.44507346
Guelph,Ge7,0.333333333,6.6,2.23,0.229314421,141097,593.52,237.7,54868,92.44507346
Guelph,Ge8,0.227272727,11.6,2.81,0.29787234,141097,593.52,237.7,54868,92.44507346
Guelph,Ge9,0.333333333,11,3.05,0.326241135,141097,593.52,237.7,54868,92.44507346
Guelph,Ge10,0.142857143,7.8,3.47,0.375886525,141097,593.52,237.7,54868,92.44507346
Guelph,Ge11,0.047619048,17.2,4.03,0.442080378,141097,593.52,237.7,54868,92.44507346
Guelph,Ge12,0.4,13.6,4.86,0.540189125,141097,593.52,237.7,54868,92.44507346
Guelph,Ge13,0.47826087,0,5.15,0.574468085,141097,593.52,237.7,54868,92.44507346
Guelph,Ge14,0.181818182,0,5.88,0.660756501,141097,593.52,237.7,54868,92.44507346
Guelph,Ge15,0.533333333,1,6.43,0.725768322,141097,593.52,237.7,54868,92.44507346
Guelph,Ge16,0.35,9.4,7.03,0.796690307,141097,593.52,237.7,54868,92.44507346
Guelph,Ge17,0.4,0,7.87,0.895981087,141097,593.52,237.7,54868,92.44507346
Guelph,Ge18,0.391304348,5.6,8.4,0.958628842,141097,593.52,237.7,54868,92.44507346
Guelph,Ge20,0.4,6.2,8.74,0.998817967,141097,593.52,237.7,54868,92.44507346
Guelph,Ge19,0.777777778,6.2,8.75,1,141097,593.52,237.7,54868,92.44507346
London,Lo1,0.3,2.4,0.34,0,366191,420.57,870.6,153630,365.2899636
London,Lo2,0.19047619,8.6,0.41,0.004331683,366191,420.57,870.6,153630,365.2899636
London,Lo3,0.19047619,19.2,0.66,0.01980198,366191,420.57,870.6,153630,365.2899636
London,Lo4,0.217391304,0,0.97,0.038985149,366191,420.57,870.6,153630,365.2899636
London,Lo5,0.181818182,2.8,1.23,0.055074257,366191,420.57,870.6,153630,365.2899636
London,Lo6,0.04,0,1.78,0.089108911,366191,420.57,870.6,153630,365.2899636
London,Lo7,0.272727273,10.8,2.16,0.112623762,366191,420.57,870.6,153630,365.2899636
London,Lo8,0.260869565,6.2,2.57,0.13799505,366191,420.57,870.6,153630,365.2899636
